iter	Passed	Remaining
0	6	639
1	9	450
2	11	364
3	12	308
4	14	284
5	16	263
6	18	247
7	20	238
8	21	221
9	22	205
10	23	192
11	24	181
12	25	172
13	26	163
14	27	156
15	28	149
16	29	143
17	30	138
18	31	133
19	32	129
20	33	125
21	34	122
22	35	120
23	36	116
24	37	113
25	38	110
26	39	107
27	40	104
28	41	101
29	42	99
30	43	96
31	44	94
32	45	91
33	46	89
34	47	87
35	48	85
36	49	83
37	50	81
38	50	79
39	51	77
40	52	75
41	53	73
42	54	71
43	54	69
44	55	68
45	56	66
46	57	65
47	58	63
48	59	62
49	60	60
50	61	59
51	62	57
52	63	56
53	64	54
54	64	53
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	79	33
70	80	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
